p sp 3278 4982
a 35 1389 1.6 1.4
a 35 1562 25.3 21.6
a 35 2755 17.1 14.6
a 36 632 41.6 35.6
a 36 1232 7.6 6.5
a 36 2226 27.0 23.1
a 37 231 36.8 31.5
a 37 482 6.5 5.6
a 37 1663 9.0 7.7
a 38 1471 4.4 3.8
a 38 1921 15.6 13.3
a 38 2147 3.7 3.2
a 38 2439 13.0 11.1
a 39 18 0.7 0.6
a 39 2116 1.4 1.2
a 39 2792 7.7 6.6
a 40 131 200.1 171.0
a 40 280 31.6 27.0
a 40 523 19.7 16.8
a 40 3096 10.6 9.1
a 41 30 22.1 18.9
a 41 971 18.0 15.4
a 41 1355 5.8 5.0
a 42 919 113.1 96.7
a 42 2428 7.2 6.2
a 42 2474 68.6 58.6
a 43 510 10.4 8.9
a 43 2684 11.1 9.5
a 43 2695 114.2 97.6
a 43 3155 19.7 16.8
a 44 245 106.2 90.8
a 44 377 60.7 51.9
a 44 897 18.7 16.0
a 44 1226 47.5 40.6
a 45 869 23.8 20.3
a 45 1924 87.0 74.4
a 45 2583 21.2 18.1
a 46 2276 2.6 2.2
a 46 2317 5.2 4.4
a 46 2893 11.7 10.0
a 46 3251 8.0 6.8
a 47 1986 10.3 8.8
a 47 2128 47.4 40.5
a 47 3042 6.3 5.4
a 48 1707 17.5 15.0
a 48 2486 54.8 46.8
a 48 2818 14.9 12.7
a 49 539 18.4 15.7
a 49 1313 116.9 99.9
a 49 2185 13.8 11.8
a 49 2245 6.3 5.4
a 50 20 2.9 2.5
a 50 67 5.2 4.4
a 50 2645 115.0 98.3
a 51 387 18.5 15.8
a 51 791 8.6 7.4
a 51 1504 23.9 20.4
a 52 990 33.3 28.5
a 52 1049 51.4 43.9
a 52 1506 48.0 41.0
a 52 3186 7.6 6.5
a 53 346 72.7 62.1
a 53 1117 28.5 24.4
a 53 1726 17.6 15.0
a 54 254 6.8 5.8
a 54 559 39.4 33.7
a 54 2155 17.8 15.2
a 54 2670 124.4 106.3
a 55 231 9.8 8.4
a 55 1663 36.9 31.5
a 55 2542 62.5 53.4
a 56 936 7.9 6.8
a 56 1003 11.7 10.0
a 56 2980 30.9 26.4
a 56 2996 11.7 10.0
a 57 2358 32.0 27.4
a 58 2385 6.9 5.9
a 59 567 79.4 67.9
a 59 1886 97.1 83.0
a 59 2510 7.6 6.5
a 60 1646 21.5 18.4
a 60 1907 11.8 10.1
a 60 2774 26.4 22.6
a 61 1547 6.6 5.6
a 61 3254 35.0 29.9
a 61 3258 13.3 11.4
a 62 941 44.7 38.2
a 62 1217 12.6 10.8
a 62 1752 5.3 4.5
a 62 2620 5.3 4.5
a 63 105 60.5 51.7
a 63 732 50.6 43.2
a 63 1445 50.2 42.9
a 64 1630 2.9 2.5
a 64 1735 7.2 6.2
a 64 2832 153.7 131.4
a 65 147 7.4 6.3
a 66 941 16.6 14.2
a 66 982 3.0 2.6
a 66 1217 42.7 36.5
a 67 50 5.2 4.4
a 67 613 5.1 4.4
a 67 685 6.2 5.3
a 67 2830 115.6 98.8
a 68 2242 121.5 103.8
a 69 698 140.4 120.0
a 69 1097 5.1 4.4
a 69 1387 8.5 7.3
a 70 1392 4.0 3.4
a 71 111 6.4 5.5
a 71 767 10.0 8.5
a 71 1322 57.3 49.0
a 71 1520 7.3 6.2
a 72 3009 22.8 19.5
a 73 1637 31.7 27.1
a 73 2759 51.2 43.8
a 73 2882 8.2 7.0
a 74 823 13.7 11.7
a 74 1040 7.3 6.2
a 74 1943 171.2 146.3
a 74 2454 10.5 9.0
a 75 1656 8.7 7.4
a 75 2433 12.9 11.0
a 75 2948 14.8 12.6
a 76 894 21.6 18.5
a 76 1919 16.9 14.4
a 76 3252 6.5 5.6
a 77 1090 94.7 80.9
a 77 1834 110.2 94.2
a 77 2105 7.5 6.4
a 77 3189 9.3 7.9
a 78 3116 10.0 8.5
a 79 1918 25.5 21.8
a 79 3011 1.4 1.2
a 79 3236 40.7 34.8
a 80 380 40.9 35.0
a 80 1882 6.1 5.2
a 80 1938 32.1 27.4
a 81 506 10.8 9.2
a 81 570 39.8 34.0
a 81 2021 6.0 5.1
a 81 2077 6.7 5.7
a 82 1638 31.8 27.2
a 82 2200 17.9 15.3
a 82 2869 46.4 39.7
a 82 3268 8.9 7.6
a 83 817 54.8 46.8
a 83 892 5.8 5.0
a 83 1678 21.9 18.7
a 84 880 18.9 16.2
a 84 949 50.5 43.2
a 84 2554 10.4 8.9
a 85 2159 8.8 7.5
a 85 2696 2.0 1.7
a 85 2834 91.1 77.9
a 86 1589 48.5 41.5
a 86 2236 5.4 4.6
a 86 2640 8.1 6.9
a 86 3005 5.4 4.6
a 87 154 4.1 3.5
a 87 463 18.1 15.5
a 87 640 26.2 22.4
a 87 662 67.4 57.6
a 88 390 84.8 72.5
a 88 1166 42.6 36.4
a 88 2214 101.7 86.9
a 88 2810 72.6 62.1
a 89 300 51.6 44.1
a 89 755 116.6 99.7
a 89 2883 123.2 105.3
a 89 3015 49.9 42.6
a 90 510 16.5 14.1
a 90 784 22.9 19.6
a 90 1960 4.6 3.9
a 91 976 9.5 8.1
a 91 1928 94.9 81.1
a 91 2101 14.3 12.2
a 91 3079 13.1 11.2
a 92 694 6.4 5.5
a 92 1073 28.2 24.1
a 92 2790 30.7 26.2
a 93 1475 9.0 7.7
a 93 2744 1.6 1.4
a 93 3169 6.1 5.2
a 94 211 19.2 16.4
a 94 926 4.2 3.6
a 94 1233 6.6 5.6
a 95 841 53.1 45.4
a 95 1567 17.0 14.5
a 95 2738 16.7 14.3
a 96 469 21.7 18.5
a 96 659 49.8 42.6
a 96 1466 2.4 2.1
a 97 827 3.3 2.8
a 97 1420 32.8 28.0
a 97 3162 5.8 5.0
a 98 708 41.6 35.6
a 98 1023 27.0 23.1
a 98 1319 10.8 9.2
a 98 1883 41.9 35.8
a 99 538 37.2 31.8
a 99 587 26.6 22.7
a 99 815 12.6 10.8
a 100 411 2.1 1.8
a 100 966 136.3 116.5
a 100 1655 3.5 3.0
a 101 319 18.0 15.4
a 101 1353 14.0 12.0
a 101 2206 69.6 59.5
a 102 142 6.4 5.5
a 102 702 24.8 21.2
a 102 2964 73.6 62.9
a 102 2976 69.5 59.4
a 103 3199 3.2 2.7
a 104 1304 6.2 5.3
a 104 1585 9.1 7.8
a 104 1861 53.6 45.8
a 105 63 60.5 51.7
a 105 1680 45.1 38.5
a 105 1977 48.5 41.5
a 105 2268 6.2 5.3
a 106 265 9.2 7.9
a 106 1055 7.7 6.6
a 106 2334 9.1 7.8
a 107 992 8.2 7.0
a 107 2213 15.6 13.3
a 107 2289 52.9 45.2
a 107 2802 12.4 10.6
a 108 396 49.1 42.0
a 108 1833 143.8 122.9
a 108 1904 122.4 104.6
a 109 527 5.3 4.5
a 109 550 40.3 34.4
a 109 1605 8.1 6.9
a 110 169 45.7 39.1
a 110 2880 47.8 40.9
a 110 2883 9.4 8.0
a 111 71 6.4 5.5
a 111 1916 54.4 46.5
a 111 2010 6.4 5.5
a 112 892 19.4 16.6
a 113 831 29.8 25.5
a 113 889 59.6 50.9
a 113 1652 22.9 19.6
a 114 685 5.5 4.7
a 114 1079 31.4 26.8
a 114 1457 6.6 5.6
a 114 3108 5.5 4.7
a 115 595 5.4 4.6
a 115 1323 107.4 91.8
a 115 2261 9.2 7.9
a 116 1056 38.8 33.2
a 116 1141 21.5 18.4
a 116 1206 50.8 43.4
a 117 967 391.4 334.5
a 118 2274 5.4 4.6
a 119 1566 80.1 68.5
a 120 1299 30.2 25.8
a 120 1852 51.3 43.8
a 120 2914 9.5 8.1
a 121 217 11.6 9.9
a 121 1210 10.2 8.7
a 121 2610 54.8 46.8
a 122 749 31.0 26.5
a 122 2228 7.6 6.5
a 122 2447 7.5 6.4
a 123 531 30.1 25.7
a 123 710 132.4 113.2
a 123 1172 47.9 40.9
a 124 2305 4.2 3.6
a 125 1187 35.4 30.3
a 125 1929 7.8 6.7
a 125 2386 42.8 36.6
a 125 3113 52.4 44.8
a 126 281 12.6 10.8
a 126 1903 10.5 9.0
a 126 2228 7.4 6.3
a 126 3211 99.8 85.3
a 127 1323 10.1 8.6
a 127 2056 9.5 8.1
a 127 2405 111.8 95.6
a 127 2506 12.7 10.9
a 128 1831 8.1 6.9
a 129 180 4.6 3.9
a 129 780 51.4 43.9
a 129 2458 240.0 205.1
a 130 755 58.1 49.7
a 130 799 7.7 6.6
a 130 1512 23.3 19.9
a 130 2967 20.7 17.7
a 131 40 200.1 171.0
a 131 972 32.9 28.1
a 131 2950 10.7 9.1
a 131 3247 31.7 27.1
a 132 1294 58.5 50.0
a 133 245 30.7 26.2
a 133 649 32.7 27.9
a 133 1320 23.3 19.9
a 133 3203 3.7 3.2
a 133 3272 7.3 6.2
a 134 831 20.6 17.6
a 134 1087 36.6 31.3
a 134 3248 8.2 7.0
a 135 475 33.1 28.3
a 135 1298 19.9 17.0
a 135 1660 7.6 6.5
a 135 2607 61.1 52.2
a 136 950 28.4 24.3
a 136 1168 31.3 26.8
a 136 1595 7.2 6.2
a 136 2675 9.5 8.1
a 137 195 12.8 10.9
a 137 314 6.2 5.3
a 137 386 88.1 75.3
a 137 2416 33.7 28.8
a 138 575 14.8 12.6
a 138 870 14.2 12.1
a 138 3146 55.7 47.6
a 139 1526 10.7 9.1
a 140 286 18.5 15.8
a 141 980 14.0 12.0
a 141 2378 51.0 43.6
a 141 2959 19.3 16.5
a 142 102 6.4 5.5
a 142 1739 33.6 28.7
a 142 2976 16.2 13.8
a 143 1000 8.1 6.9
a 143 1051 17.1 14.6
a 143 2680 10.3 8.8
a 144 525 7.3 6.2
a 144 1788 32.2 27.5
a 144 2714 60.2 51.5
a 145 1127 6.6 5.6
a 145 2488 47.1 40.3
a 145 2517 2.9 2.5
a 146 220 246.4 210.6
a 146 1860 65.0 55.6
a 146 2490 7.3 6.2
a 146 2914 5.6 4.8
a 147 65 7.4 6.3
a 147 225 112.9 96.5
a 147 302 4.4 3.8
a 147 2944 10.4 8.9
a 148 3088 24.8 21.2
a 149 1437 101.7 86.9
a 150 1965 109.1 93.2
a 150 2176 6.4 5.5
a 150 2931 6.2 5.3
a 150 2945 5.4 4.6
a 151 565 6.6 5.6
a 151 673 6.3 5.4
a 151 1530 37.8 32.3
a 151 1747 5.8 5.0
a 152 438 31.3 26.8
a 152 1727 11.4 9.7
a 152 2030 88.5 75.6
a 153 1951 1.0 0.9
a 154 87 4.1 3.5
a 155 1093 15.5 13.2
a 155 2743 8.8 7.5
a 155 2908 32.6 27.9
a 156 1716 14.4 12.3
a 156 2947 6.7 5.7
a 156 3060 8.1 6.9
a 156 3267 100.0 85.5
a 157 257 82.1 70.2
a 157 536 11.2 9.6
a 157 583 26.3 22.5
a 158 1776 43.4 37.1
a 158 1785 11.3 9.7
a 158 2263 12.6 10.8
a 158 2491 11.1 9.5
a 159 1558 38.0 32.5
a 159 1568 60.3 51.5
a 159 3157 46.5 39.7
a 160 2218 3.2 2.7
a 161 466 6.2 5.3
a 161 1393 70.2 60.0
a 161 2619 13.2 11.3
a 162 667 38.5 32.9
a 162 789 5.9 5.0
a 162 1022 39.6 33.8
a 162 1966 42.3 36.2
a 163 1722 16.1 13.8
a 163 2014 11.9 10.2
a 163 2165 13.2 11.3
a 163 2322 22.5 19.2
a 164 2392 7.9 6.8
a 164 3060 7.2 6.2
a 164 3208 60.5 51.7
a 165 867 37.4 32.0
a 165 894 6.6 5.6
a 165 2338 37.1 31.7
a 166 321 3.2 2.7
a 166 1373 118.2 101.0
a 166 1781 37.1 31.7
a 167 312 56.7 48.5
a 167 367 6.0 5.1
a 167 1402 6.0 5.1
a 168 2285 14.4 12.3
a 168 2529 11.4 9.7
a 168 3025 15.2 13.0
a 169 110 45.7 39.1
a 169 1846 10.3 8.8
a 169 2552 17.7 15.1
a 169 3055 14.6 12.5
a 170 722 84.6 72.3
a 170 1654 4.2 3.6
a 170 1944 15.5 13.2
a 171 3099 1.8 1.5
a 172 744 69.8 59.7
a 173 2232 60.3 51.5
a 173 2278 65.5 56.0
a 173 2498 7.3 6.2
a 173 3255 11.7 10.0
a 174 1793 49.5 42.3
a 174 1800 86.8 74.2
a 174 3165 16.7 14.3
a 175 503 2.5 2.1
a 175 1019 6.1 5.2
a 175 1073 15.1 12.9
a 176 1345 62.0 53.0
a 176 2457 70.0 59.8
a 176 2686 14.5 12.4
a 176 2778 6.1 5.2
a 177 188 39.9 34.1
a 177 2519 64.6 55.2
a 177 2722 36.6 31.3
a 177 2724 29.7 25.4
a 178 2332 63.6 54.4
a 178 2860 6.5 5.6
a 178 3193 5.6 4.8
a 179 925 7.8 6.7
a 180 129 4.6 3.9
a 180 713 7.0 6.0
a 180 1351 373.9 319.6
a 180 1488 47.6 40.7
a 181 2944 115.3 98.5
a 182 963 201.5 172.2
a 183 265 114.1 97.5
a 183 2082 8.8 7.5
a 183 2293 9.6 8.2
a 183 3143 11.4 9.7
a 184 1509 20.4 17.4
a 184 1538 54.2 46.3
a 184 2721 6.6 5.6
a 185 1024 37.5 32.1
a 185 1843 27.1 23.2
a 185 2120 90.9 77.7
a 186 1071 326.5 279.1
a 187 902 25.9 22.1
a 187 1120 8.4 7.2
a 187 2080 90.9 77.7
a 188 177 39.9 34.1
a 188 642 69.7 59.6
a 188 2656 76.4 65.3
a 189 1618 867.6 741.5
a 190 237 9.0 7.7
a 190 898 34.2 29.2
a 190 2018 51.4 43.9
a 190 2073 16.9 14.4
a 191 605 224.1 191.5
a 191 994 6.9 5.9
a 191 2789 32.6 27.9
a 191 2878 10.4 8.9
a 192 205 8.5 7.3
a 192 1116 57.4 49.1
a 192 2606 11.7 10.0
a 193 8 4.7 4.0
a 193 12 3.7 3.2
a 193 2573 31.9 27.3
a 194 1562 7.5 6.4
a 195 137 12.8 10.9
a 195 1650 8.1 6.9
a 195 1917 88.4 75.6
a 195 2543 11.0 9.4
a 196 298 19.4 16.6
a 196 2269 8.4 7.2
a 196 2324 6.7 5.7
a 196 2352 14.4 12.3
a 197 1023 45.9 39.2
a 197 1362 8.4 7.2
a 197 2309 44.3 37.9
a 198 1705 1.6 1.4
a 198 2492 35.7 30.5
a 198 2920 9.3 7.9
a 199 356 7.6 6.5
a 199 1152 24.3 20.8
a 199 1906 33.7 28.8
a 199 2879 48.5 41.5
a 200 838 22.1 18.9
a 200 925 51.1 43.7
a 200 1355 7.1 6.1
a 201 414 11.8 10.1
a 201 1740 51.8 44.3
a 201 2029 18.6 15.9
a 201 2256 5.6 4.8
a 202 235 54.6 46.7
a 202 241 27.2 23.2
a 202 2297 33.5 28.6
a 203 345 7.8 6.7
a 203 1220 42.4 36.2
a 203 3035 29.9 25.6
a 204 679 5.3 4.5
a 204 1066 39.5 33.8
a 204 1263 5.1 4.4
a 204 2946 40.0 34.2
a 205 192 8.5 7.3
a 206 455 44.2 37.8
a 206 458 51.6 44.1
a 206 2482 32.9 28.1
a 206 3262 42.7 36.5
a 207 491 47.8 40.9
a 207 1055 31.7 27.1
a 207 2293 74.5 63.7
a 208 559 121.8 104.1
a 208 1953 44.0 37.6
a 208 2335 11.0 9.4
a 208 2670 52.6 45.0
a 209 1434 5.4 4.6
a 209 1567 42.3 36.2
a 209 1642 41.6 35.6
a 209 2967 24.6 21.0
a 210 901 2.9 2.5
a 210 1287 66.5 56.8
a 210 2259 35.4 30.3
a 211 94 19.2 16.4
a 211 750 45.3 38.7
a 211 2125 90.9 77.7
a 212 2041 35.0 29.9
a 212 2423 43.5 37.2
a 212 3182 28.7 24.5
a 213 1928 13.6 11.6
a 213 2362 127.3 108.8
a 213 2902 144.8 123.8
a 213 3079 95.0 81.2
a 214 793 12.3 10.5
a 214 876 8.0 6.8
a 214 1278 69.9 59.7
a 214 2577 10.7 9.1
a 215 452 7.1 6.1
a 215 1904 1.2 1.0
a 215 2751 31.4 26.8
a 216 2111 87.8 75.0
a 216 2302 2.5 2.1
a 216 2479 38.6 33.0
a 217 34 11.0 9.4
a 217 121 11.6 9.9
a 217 1082 6.9 5.9
a 218 1827 117.5 100.4
a 219 697 11.7 10.0
a 219 1007 10.2 8.7
a 219 1663 12.4 10.6
a 219 1664 8.7 7.4
a 220 146 246.4 210.6
a 220 876 70.4 60.2
a 220 1278 10.0 8.5
a 220 1878 74.5 63.7
a 221 467 4.6 3.9
a 221 739 45.0 38.5
a 221 2870 37.3 31.9
a 222 1512 6.5 5.6
a 223 693 73.7 63.0
a 223 2313 38.2 32.6
a 223 2933 31.5 26.9
a 224 821 29.3 25.0
a 224 1798 2.2 1.9
a 224 3271 31.4 26.8
a 225 147 112.9 96.5
a 225 281 12.1 10.3
a 225 2793 10.9 9.3
a 225 3112 8.3 7.1
a 226 946 21.4 18.3
a 226 1514 22.3 19.1
a 226 2480 45.3 38.7
a 227 971 45.8 39.1
a 227 2226 12.2 10.4
a 227 2912 22.8 19.5
a 228 400 10.9 9.3
a 228 1509 17.5 15.0
a 228 2387 42.8 36.6
a 229 551 3.6 3.1
a 229 1242 18.2 15.6
a 229 2267 8.4 7.2
a 230 1313 6.6 5.6
a 230 1604 45.8 39.1
a 230 2245 117.4 100.3
a 230 2657 4.9 4.2
a 231 37 36.8 31.5
a 231 55 9.8 8.4
a 231 3066 62.5 53.4
a 231 3150 33.2 28.4
a 232 1449 10.9 9.3
a 233 829 223.9 191.4
a 233 984 7.9 6.8
a 233 2004 79.6 68.0
a 234 1675 40.2 34.4
a 234 2370 35.1 30.0
a 234 2521 10.9 9.3
a 235 202 54.6 46.7
a 235 890 51.0 43.6
a 235 3165 33.9 29.0
a 235 3223 29.8 25.5
a 236 1636 34.3 29.3
a 236 2699 9.7 8.3
a 236 3006 13.4 11.5
a 236 3273 12.3 10.5
a 237 190 9.0 7.7
a 237 1276 119.5 102.1
a 237 1587 51.4 43.9
a 238 1579 11.2 9.6
a 238 1723 28.8 24.6
a 238 2404 9.7 8.3
a 239 1339 5.8 5.0
a 239 1519 53.7 45.9
a 239 1963 59.3 50.7
a 239 3130 23.7 20.3
a 240 34 4.3 3.7
a 241 202 27.2 23.2
a 241 443 10.2 8.7
a 241 945 10.5 9.0
a 241 1399 9.7 8.3
a 242 254 105.4 90.1
a 242 836 12.8 10.9
a 242 3068 16.6 14.2
a 243 367 35.9 30.7
a 244 1357 3.0 2.6
a 245 44 106.2 90.8
a 245 133 30.7 26.2
a 245 649 8.7 7.4
a 246 26 43.4 37.1
a 246 2700 14.2 12.1
a 246 2986 72.8 62.2
a 247 1427 5.4 4.6
a 247 2630 74.1 63.3
a 247 2833 84.9 72.6
a 248 451 43.2 36.9
a 248 2168 41.1 35.1
a 248 2387 26.4 22.6
a 249 692 2.5 2.1
a 250 1032 2.3 2.0
a 251 1248 176.6 150.9
a 251 2050 211.5 180.8
a 251 2079 152.3 130.2
a 252 1068 19.6 16.8
a 252 1801 33.2 28.4
a 252 2567 73.8 63.1
a 252 3075 62.0 53.0
a 253 16 12.2 10.4
a 253 2050 13.4 11.5
a 253 2140 5.7 4.9
a 254 54 6.8 5.8
a 254 242 105.4 90.1
a 254 669 49.4 42.2
a 254 1194 38.7 33.1
a 255 290 2.6 2.2
a 256 1119 103.2 88.2
a 257 157 82.1 70.2
a 257 862 55.7 47.6
a 257 2248 77.8 66.5
a 258 492 4.4 3.8
a 258 1576 4.7 4.0
a 258 2868 6.7 5.7
a 259 272 28.5 24.4
a 259 1469 125.2 107.0
a 259 2419 10.1 8.6
a 259 2692 109.1 93.2
a 260 1989 17.4 14.9
a 260 2354 11.1 9.5
a 260 2489 18.8 16.1
a 260 2744 8.8 7.5
a 261 283 70.9 60.6
a 261 374 4.4 3.8
a 261 1219 7.3 6.2
a 261 2033 5.8 5.0
a 262 2022 10.6 9.1
a 262 3103 68.8 58.8
a 262 3128 7.7 6.6
a 262 3191 7.7 6.6
a 263 769 14.7 12.6
a 263 1962 2.5 2.1
a 263 2029 19.4 16.6
a 263 2035 5.5 4.7
a 264 456 4.0 3.4
a 264 964 14.9 12.7
a 264 1784 32.6 27.9
a 265 106 9.2 7.9
a 265 183 114.1 97.5
a 265 1358 12.0 10.3
a 265 3136 31.9 27.3
a 266 287 46.8 40.0
a 266 1718 2.7 2.3
a 266 2599 8.6 7.4
a 267 364 10.0 8.5
a 267 1932 11.1 9.5
a 267 2145 16.8 14.4
a 267 2180 68.0 58.1
a 268 1170 5.8 5.0
a 268 1708 10.0 8.5
a 268 2590 46.5 39.7
a 268 2900 10.2 8.7
a 269 1529 9.9 8.5
a 269 2105 9.3 7.9
a 269 2159 7.5 6.4
a 269 3189 7.6 6.5
a 270 732 37.6 32.1
a 270 2560 100.8 86.2
a 270 2626 4.5 3.8
a 270 2769 140.2 119.8
a 271 2133 16.8 14.4
a 271 2443 3.6 3.1
a 271 3219 19.2 16.4
a 272 259 28.5 24.4
a 272 1552 136.8 116.9
a 272 1575 11.1 9.5
a 272 2177 23.4 20.0
a 273 872 11.6 9.9
a 273 2160 42.9 36.7
a 273 2534 15.6 13.3
a 274 1234 18.4 15.7
a 274 2604 8.1 6.9
a 274 2699 6.9 5.9
a 275 554 15.5 13.2
a 275 1314 12.2 10.4
a 275 2146 22.3 19.1
a 275 2812 46.8 40.0
a 276 998 35.5 30.3
a 276 2181 48.0 41.0
a 276 2969 6.9 5.9
a 276 3257 39.8 34.0
a 277 472 26.3 22.5
a 277 1162 16.4 14.0
a 277 1183 14.2 12.1
a 277 1580 14.3 12.2
a 278 837 18.3 15.6
a 278 2668 9.2 7.9
a 278 2809 15.1 12.9
a 279 2613 187.7 160.4
a 279 2816 8.1 6.9
a 279 3065 41.1 35.1
a 280 40 31.6 27.0
a 280 543 11.9 10.2
a 280 972 196.6 168.0
a 280 2823 12.6 10.8
a 281 126 12.6 10.8
a 281 225 12.1 10.3
a 281 1476 10.9 9.3
a 281 2447 9.6 8.2
a 282 1229 28.8 24.6
a 283 261 70.9 60.6
a 283 726 7.5 6.4
a 283 1376 7.1 6.1
a 283 3246 8.6 7.4
a 284 1145 18.8 16.1
a 284 1566 20.7 17.7
a 284 2808 1.3 1.1
a 285 2532 16.3 13.9
a 285 2850 15.7 13.4
a 285 3042 16.3 13.9
a 285 3049 8.7 7.4
a 286 140 18.5 15.8
a 286 1732 20.4 17.4
a 286 1866 30.4 26.0
a 287 266 46.8 40.0
a 287 1144 47.0 40.2
a 287 1285 31.4 26.8
a 288 1199 6.3 5.4
a 288 2083 24.5 20.9
a 288 2165 7.5 6.4
a 289 2781 7.5 6.4
a 290 255 2.6 2.2
a 290 456 22.8 19.5
a 290 2871 29.9 25.6
a 291 1149 8.3 7.1
a 291 2243 14.0 12.0
a 291 2257 6.3 5.4
a 291 2993 25.2 21.5
a 292 2841 7.5 6.4
a 293 6 34.1 29.1
a 293 1888 30.7 26.2
a 293 2771 8.9 7.6
a 294 916 2.9 2.5
a 294 1553 125.2 107.0
a 294 1764 80.6 68.9
a 295 779 115.4 98.6
a 296 2531 5.4 4.6
a 297 1080 66.8 57.1
a 297 1178 1.6 1.4
a 297 1621 4.8 4.1
a 298 196 19.4 16.6
a 298 886 11.1 9.5
a 298 3215 6.1 5.2
a 299 809 30.0 25.6
a 299 1706 45.1 38.5
a 299 2201 35.0 29.9
a 299 2631 25.5 21.8
a 300 89 51.6 44.1
a 300 1074 103.2 88.2
a 300 1146 56.7 48.5
a 300 2114 6.5 5.6
a 301 1173 69.6 59.5
a 301 2359 40.4 34.5
a 301 2867 62.4 53.3
a 302 147 4.4 3.8
a 303 636 7.7 6.6
a 303 2798 51.4 43.9
a 303 3147 66.7 57.0
a 304 532 12.5 10.7
a 304 1523 144.0 123.1
a 304 3156 8.4 7.2
a 305 382 87.8 75.0
a 305 1686 208.0 177.8
a 305 2557 20.4 17.4
a 306 1074 10.3 8.8
a 306 2639 7.4 6.3
a 306 3136 8.4 7.2
a 307 1093 50.0 42.7
a 307 2023 49.1 42.0
a 307 2062 9.0 7.7
a 308 1335 6.9 5.9
a 308 2386 25.0 21.4
a 308 3124 11.5 9.8
a 309 1261 14.1 12.1
a 309 2421 6.7 5.7
a 309 2841 15.5 13.2
a 310 439 71.4 61.0
a 310 2202 91.2 77.9
a 310 2766 47.5 40.6
a 310 3118 40.4 34.5
a 311 1518 27.6 23.6
a 312 167 56.7 48.5
a 312 1731 6.5 5.6
a 312 2601 8.0 6.8
a 312 2628 7.2 6.2
a 313 489 10.8 9.2
a 313 1899 7.9 6.8
a 313 2711 10.0 8.5
a 313 3037 43.6 37.3
a 314 137 6.2 5.3
a 314 2300 4.3 3.7
a 314 3022 64.4 55.0
a 315 480 9.9 8.5
a 315 1059 35.2 30.1
a 315 1148 37.6 32.1
